City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
262,Pevek,RU,69.7008,170.3133,18.16,91,100,13.13,2021-10-21 00:48:17
263,Puyang,CN,29.4603,119.8861,52.77,96,100,2.89,2021-10-21 00:48:17
264,Half Moon Bay,US,37.4636,-122.4286,66.2,85,90,1.01,2021-10-21 00:48:17
265,Port Hedland,AU,-20.3167,118.5667,86.05,21,0,13.8,2021-10-21 00:48:18
266,Ahipara,NZ,-35.1667,173.1667,61.7,96,100,8.57,2021-10-21 00:44:05
267,Douentza,ML,14.9951,-2.9517,84.25,28,100,6.69,2021-10-21 00:48:18
268,Aksu,CN,41.1231,80.2644,49.53,31,20,3.24,2021-10-21 00:48:19
269,Sergeyevka,KZ,53.88,67.4158,43.3,71,100,16.11,2021-10-21 00:48:19
270,Bingen,DE,48.1113,9.2724,57.33,80,100,9.35,2021-10-21 00:48:20
271,Sabaudia,IT,41.3003,13.0282,59.76,70,42,3.62,2021-10-21 00:48:20
272,Lugovoy,KZ,42.9472,72.7644,53.58,41,5,6.98,2021-10-21 00:48:20
273,Takestan,IR,36.0696,49.6959,48.29,81,52,13.53,2021-10-21 00:48:21
274,Damara,CF,4.9608,18.7035,69.87,98,100,2.24,2021-10-21 00:48:21
275,Bandarbeyla,SO,9.4942,50.8122,75.92,86,19,6.46,2021-10-21 00:48:22
276,Methoni,GR,36.8197,21.7049,61.21,68,3,4.45,2021-10-21 00:48:22
277,Alexandria,EG,31.2156,29.9553,71.56,64,20,10.36,2021-10-21 00:47:57
278,Zemio,CF,5.0314,25.1361,69.26,98,100,2.59,2021-10-21 00:48:23
279,Kathu,TH,7.9178,98.3332,82.69,99,95,6.82,2021-10-21 00:48:23
280,Chuy,UY,-33.6971,-53.4616,55.49,79,3,7.74,2021-10-21 00:48:24
281,Atlantic City,US,39.3643,-74.4229,66.97,70,1,6.91,2021-10-21 00:47:08
282,Alice Town,BS,25.7167,-79.3,80.08,69,100,20.0,2021-10-21 00:48:24
283,Necochea,AR,-38.5473,-58.7368,58.03,91,0,11.25,2021-10-21 00:48:25
284,Fianarantsoa,MG,-21.4333,47.0833,60.89,96,100,2.24,2021-10-21 00:48:25
285,Cururupu,BR,-1.8283,-44.8683,76.1,87,53,3.44,2021-10-21 00:48:26
286,Thap Than,TH,15.4606,99.8917,79.86,83,74,1.68,2021-10-21 00:48:26
287,Lewiston,US,44.1003,-70.2148,54.52,85,75,4.61,2021-10-21 00:46:32
288,Atasu,KZ,48.6814,71.6433,45.66,47,100,10.67,2021-10-21 00:48:27
289,Lockhart,US,28.6194,-81.4426,75.92,75,1,4.61,2021-10-21 00:48:27
290,Inongo,CD,-1.95,18.2667,71.15,93,100,3.74,2021-10-21 00:48:28
