City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
535,Wewak,PG,78.96,-3.5534,143.6268,In Wewak Boutique Hotel
544,Port Moresby,PG,87.22,-9.4431,147.1797,Lamana Hotel (Port Moresby)
546,Port Blair,IN,81.39,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
556,Kloulklubed,PW,82.08,7.0419,134.2556,Storyboard Beach Resort
558,Itoman,JP,75.97,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
563,Salinopolis,BR,79.97,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
568,Orange,US,77.34,33.7,-117.7675,Meadows
573,Sao Jose Da Coroa Grande,BR,76.93,-8.8978,-35.1478,Crôa Mares Hotel
574,Bonthe,SL,78.42,7.5264,-12.505,Bonthe Holiday Village
578,Corozal,CO,75.58,9.3151,-75.2928,Hotel Perla De La Sabana
585,Orodara,BF,75.58,10.9492,-4.9342,Bkf Orodara
586,Agua Verde,MX,85.12,22.9,-106.05,
589,Bac Lieu,VN,78.01,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
591,West Bay,KY,84.27,19.3667,-81.4167,Calypso Cove
602,Ambon,ID,86.14,-3.6954,128.1814,Swiss-Belhotel Ambon
609,Cockburn Town,TC,82.31,21.4612,-71.1419,Osprey Beach Hotel
610,Blythe,US,80.04,33.6103,-114.5964,Rodeway Inn & Suites
611,Pakxan,LA,79.77,18.3778,103.6601,Kong Kham Pheng Guesthouse
612,Keningau,MY,77.45,5.3378,116.1602,Sabindo Hotel
622,Kousseri,CM,78.76,12.0769,15.0306,Le Pilotis
628,Acapulco,MX,84.02,16.8634,-99.8901,HS Hotsson Smart Acapulco
631,Domoni,KM,75.15,-12.2569,44.5319,Al Djadid
635,Alyangula,AU,87.67,-13.8483,136.4192,Groote Eylandt Lodge
641,Vanimo,PG,77.95,-2.6741,141.3028,Vahmoneh Lodge Vanimo
643,Pecos,US,86.83,31.4229,-103.4932,Knights Inn & Suites Pecos
647,Doha,QA,84.18,25.2867,51.5333,Movenpick Hotel Doha
662,Lazaro Cardenas,MX,80.76,17.9583,-102.2,quinta antigua
663,Sorong,ID,81.05,-0.8833,131.25,waigo splash hotel
667,Lorengau,PG,84.36,-2.0226,147.2712,Lorengau Harbourside Hotel
668,Merauke,ID,88.14,-8.4667,140.3333,
670,Soe,ID,82.83,-9.8607,124.284,Dena Hotel
677,Baillif,GP,78.3,16.0202,-61.7463,Hôtel Saint-Georges
682,Ouahigouya,BF,84.52,13.5828,-2.4216,Hotel Liberte
